Category,Kind,Fabric,Cut,Product_Code,Brand,Color,Warehouse,Location,Supplier,Balance,29,2XL,30,31,32,33,34,35,36,37,38,39,3XL,40,41,42,43,44,45,46,47,48,4XL,50,52,54,56,58,5XL,60,62,64,66,68,6XL,70,L,M,S,XL,XS
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-GZ452,Guzzy,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-GZ452,Guzzy,1 Black,Warehouse,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-GZ453,Guzzy,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-GZ453,Guzzy,1 Black,Warehouse,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-GZ453,Guzzy,2 D.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-GZ453,Guzzy,2 D.Brown,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-GZ453,Guzzy,3 L.Brown,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-GZ453,Guzzy,3 L.Brown,Warehouse,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-WP679,Will Polo,1 Black,Retail,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accessories,Bags and Wallets,Card Boxs,In Genuine Leather,832-WP679,Will Polo,1 Black,Warehouse,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
